codigo;descricao;vigencia_inicio;vigencia_fim
1001;NÚMERO DA CARTEIRA INVÁLIDO;2006-11-16;
1002;NÚMERO DO CARTÃO NACIONAL DE SAÚDE INVÁLIDO;2006-11-16;
1003;A ADMISSÃO DO BENEFICIÁRIO NO PRESTADOR OCORREU ANTES DA INCLUSÃO DO BENEFICIÁRIO NA OPERADORA;2006-11-16;2026-06-30
1004;SOLICITAÇÃO ANTERIOR À INCLUSÃO DO BENEFICIÁRIO;2006-11-16;2026-06-30
1005;ATENDIMENTO ANTERIOR À INCLUSÃO DO BENEFICIÁRIO;2006-11-16;2026-06-30
1006;ATENDIMENTO APÓS O DESLIGAMENTO DO BENEFICIÁRIO;2006-11-16;
1007;ATENDIMENTO DENTRO DA CARÊNCIA DO BENEFICIÁRIO;2006-11-16;2026-06-30
1008;ASSINATURA DIVERGENTE;2006-11-16;2026-06-30
1009;BENEFICIÁRIO COM PAGAMENTO EM ABERTO;2006-11-16;
1010;ASSINATURA DO TITULAR / RESPONSÁVEL INEXISTENTE;2006-11-16;2026-06-30
1011;IDENTIFICAÇÃO DO BENEFICIÁRIO NÃO CONSISTENTE;2006-11-16;2026-06-30
1012;SERVIÇO PROFISSIONAL HOSPITALAR NÃO É COBERTO PELO PLANO DO BENEFICIÁRIO;2006-11-16;2026-06-30
1013;CADASTRO DO BENEFICIÁRIO COM PROBLEMAS;2006-11-16;2026-06-30
1014;BENEFICIÁRIO COM DATA DE EXCLUSÃO;2006-11-16;2026-06-30
1015;IDADE DO BENEFICIÁRIO ACIMA IDADE LIMITE;2006-11-16;2026-06-30
1016;BENEFICIÁRIO COM ATENDIMENTO SUSPENSO;2006-11-16;
1018;EMPRESA DO BENEFICIÁRIO SUSPENSA / EXCLUÍDA;2006-11-16;2026-06-30
1019;FAMÍLIA DO BENEFICIÁRIO COM ATENDIMENTO SUSPENSO;2006-11-16;2026-06-30
1020;VIA DE CARTÃO DO BENEFICIÁRIO CANCELADA;2006-11-16;2026-06-30
1021;VIA DE CARTÃO DO BENEFICIÁRIO NÃO LIBERADA;2006-11-16;2026-06-30
1022;VIA DE CARTÃO DO BENEFICIÁRIO NÃO COMPATÍVEL;2006-11-16;2026-06-30
1023;NOME DO TITULAR INVÁLIDO;2006-11-16;2026-06-30
1024;PLANO NÃO EXISTENTE;2006-11-16;
1025;BENEFICIÁRIO NÃO POSSUI COBERTURA PARA ASSISTÊNCIA ODONTOLÓGICA;2013-04-01;
1101;QUANTIDADE DE GUIAS INFORMADAS NO PROTOCOLO DIFERENTE DAS CADASTRADAS;2006-11-16;2026-06-30
1103;PROTOCOLO NÃO É DE REAPRESENTAÇÃO;2006-11-16;
1104;VALOR TOTAL DO PROTOCOLO DIFERENTE DO VALOR TOTAL DAS GUIAS;2006-11-16;
1201;ATENDIMENTO FORA DA VIGÊNCIA DO CONTRATO COM O CREDENCIADO;2006-11-16;2026-06-30
1202;NÚMERO DO CNES INVÁLIDO;2006-11-16;
1203;CÓDIGO PRESTADOR INVÁLIDO;2006-11-16;2026-06-30
1204;ADMISSÃO ANTERIOR À INCLUSÃO DO CREDENCIADO NA REDE;2006-11-16;2026-06-30
1205;ADMISSÃO APÓS O DESLIGAMENTO DO CREDENCIADO DA REDE;2006-11-16;2026-06-30
1206;CPF / CNPJ INVÁLIDO;2006-11-16;
1207;CREDENCIADO NÃO PERTENCE À REDE CREDENCIADA;2006-11-16;2026-06-30
1208;SOLICITAÇÃO ANTERIOR À INCLUSÃO DO CREDENCIADO;2006-11-16;2026-06-30
1209;SOLICITAÇÃO APÓS O DESLIGAMENTO DO CREDENCIADO;2006-11-16;2026-06-30
1210;SOLICITANTE CREDENCIADO NÃO CADASTRADO;2006-11-16;2026-06-30
1211;ASSINATURA / CARIMBO DO CREDENCIADO INEXISTENTE;2006-11-16;2026-06-30
1212;ATENDIMENTO / REFERÊNCIA FORA DA VIGÊNCIA DO CONTRATO DO PRESTADOR;2006-11-16;2026-06-30
1213;CBO (ESPECIALIDADE) INVÁLIDO;2006-11-16;
1214;CREDENCIADO NÃO HABILITADO A REALIZAR O PROCEDIMENTO;2006-11-16;2026-06-30
1215;CREDENCIADO FORA DA ABRANGÊNCIA GEOGRÁFICA DO PLANO;2006-11-16;2026-06-30
1216;ESPECIALIDADE NÃO CADASTRADA;2006-11-16;2026-06-30
1217;ESPECIALIDADE NÃO CADASTRADA PARA O PRESTADOR;2006-11-16;
